Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,1.1665,0.01415,0.0059,-0.2663,0.3824,0.0376
0.25,1.203,0.0141,0.006,-0.2682,0.3782,0.1183
0.5,1.2343,0.0142,0.00619,-0.2689,0.3742,0.1954
0.75,1.263,0.01432,0.00636,-0.269,0.3713,0.2244
1,1.2912,0.01445,0.00652,-0.2689,0.3686,0.2498
1.25,1.3189,0.0146,0.00667,-0.2687,0.3658,0.2658
1.5,1.3462,0.01477,0.00683,-0.2684,0.3629,0.2791
1.75,1.3733,0.01496,0.007,-0.2681,0.3598,0.2895
2,1.3999,0.01517,0.00718,-0.2677,0.3569,0.2985
2.25,1.4267,0.01537,0.00738,-0.2674,0.3544,0.3097
2.5,1.4539,0.01553,0.00757,-0.2671,0.3526,0.3218
2.75,1.4808,0.01571,0.00777,-0.2668,0.3506,0.3366
3.25,1.534,0.0161,0.00823,-0.2661,0.3462,0.3731
3.75,1.5862,0.01656,0.00874,-0.2652,0.3414,0.4159
4,1.612,0.01683,0.00904,-0.2647,0.3391,0.4414
4.5,1.6647,0.01729,0.00963,-0.264,0.3358,0.5049
4.75,1.6915,0.0175,0.00994,-0.2637,0.3342,0.5465
5,1.7182,0.01773,0.01028,-0.2635,0.3323,0.5929
5.25,1.7449,0.01797,0.01062,-0.2632,0.33,0.6456
5.5,1.7715,0.01822,0.01099,-0.2629,0.3278,0.7119
5.75,1.7968,0.01844,0.01138,-0.2624,0.3256,0.8176
6.25,1.8326,0.01892,0.01193,-0.2582,0.3207,1
6.5,1.8563,0.0192,0.01225,-0.2574,0.3187,1
6.75,1.8799,0.01948,0.01258,-0.2565,0.3163,1
7,1.9028,0.01978,0.01291,-0.2555,0.3134,1
7.25,1.9251,0.02013,0.01327,-0.2544,0.3103,1
7.5,1.9467,0.02051,0.01366,-0.2533,0.3076,1
7.75,1.9679,0.02094,0.0141,-0.252,0.3051,1
8,1.9893,0.02136,0.01454,-0.2508,0.3026,1
8.25,2.0117,0.02166,0.01492,-0.2498,0.2997,1
8.5,2.033,0.02203,0.01534,-0.2486,0.2962,1
8.75,2.053,0.02247,0.0158,-0.2472,0.2919,1
9,2.0719,0.02299,0.01632,-0.2456,0.2883,1
9.25,2.0924,0.02341,0.0168,-0.2443,0.2843,1
9.5,2.1121,0.02386,0.0173,-0.2429,0.2785,1
9.75,2.1285,0.0245,0.01792,-0.241,0.272,1
10,2.1478,0.02499,0.01848,-0.2395,0.2664,1
10.25,2.1652,0.02561,0.01912,-0.2378,0.2603,1
10.5,2.1814,0.02631,0.01984,-0.2359,0.2551,1
10.75,2.1977,0.027,0.02057,-0.2341,0.2477,1
11,2.2117,0.02787,0.02145,-0.2319,0.2409,1
11.25,2.2261,0.02871,0.02233,-0.2299,0.2334,1
11.5,2.2379,0.02976,0.02339,-0.2275,0.2256,1
11.75,2.2488,0.03089,0.02454,-0.225,0.2161,1
12,2.2586,0.03213,0.02579,-0.2225,0.2072,1
12.25,2.2639,0.03375,0.02739,-0.2194,0.1954,1
12.5,2.268,0.0355,0.02914,-0.2164,0.1853,1
12.75,2.2723,0.03729,0.03095,-0.2134,0.1754,1
13,2.275,0.03928,0.03296,-0.2105,0.1671,1
13.25,2.275,0.04157,0.03528,-0.2075,0.1587,1
13.5,2.2765,0.04379,0.03755,-0.2048,0.1515,1
13.75,2.2735,0.04656,0.04036,-0.202,0.1446,1
14,2.2721,0.04927,0.04313,-0.1995,0.1378,1
14.25,2.2659,0.05264,0.04656,-0.197,0.132,1
14.5,2.2614,0.05598,0.04999,-0.195,0.126,1
14.75,2.2525,0.06002,0.05411,-0.1932,0.121,1
15,2.2438,0.06426,0.05845,-0.1918,0.1163,1
15.25,2.2313,0.06927,0.06356,-0.1908,0.1112,1
15.5,2.2156,0.07501,0.06942,-0.1902,0.1074,1
15.75,2.202,0.08068,0.07522,-0.1902,0.1038,1
16,2.1834,0.08736,0.08204,-0.1906,0.1003,1
16.25,2.1607,0.09491,0.08971,-0.1916,0.0973,1
16.5,2.1422,0.10184,0.09679,-0.1927,0.0947,1
8.75,2.053,0.02247,0.0158,-0.2472,0.2919,1
9,2.0719,0.02299,0.01632,-0.2456,0.2883,1
9.25,2.0924,0.02341,0.0168,-0.2443,0.2843,1
9.5,2.1121,0.02386,0.0173,-0.2429,0.2785,1
9.75,2.1285,0.0245,0.01792,-0.241,0.272,1
10,2.1478,0.02499,0.01848,-0.2395,0.2664,1
10.25,2.1652,0.02561,0.01912,-0.2378,0.2603,1
10.5,2.1814,0.02631,0.01984,-0.2359,0.2551,1
10.75,2.1977,0.027,0.02057,-0.2341,0.2477,1
11,2.2117,0.02787,0.02145,-0.2319,0.2409,1
11.25,2.2261,0.02871,0.02233,-0.2299,0.2334,1
11.5,2.2379,0.02976,0.02339,-0.2275,0.2256,1
11.75,2.2488,0.03089,0.02454,-0.225,0.2161,1
12,2.2586,0.03213,0.02579,-0.2225,0.2072,1
12.25,2.2639,0.03375,0.02739,-0.2194,0.1954,1
12.5,2.268,0.0355,0.02914,-0.2164,0.1853,1
12.75,2.2723,0.03729,0.03095,-0.2134,0.1754,1
13,2.275,0.03928,0.03296,-0.2105,0.1671,1
13.25,2.275,0.04157,0.03528,-0.2075,0.1587,1
13.5,2.2765,0.04379,0.03755,-0.2048,0.1515,1
13.75,2.2735,0.04656,0.04036,-0.202,0.1446,1
14,2.2721,0.04927,0.04313,-0.1995,0.1378,1
14.25,2.2659,0.05264,0.04656,-0.197,0.132,1
14.5,2.2614,0.05598,0.04999,-0.195,0.126,1
14.75,2.2525,0.06002,0.05411,-0.1932,0.121,1
15,2.2438,0.06426,0.05845,-0.1918,0.1163,1
15.25,2.2313,0.06927,0.06356,-0.1908,0.1112,1
15.5,2.2156,0.07501,0.06942,-0.1902,0.1074,1
15.75,2.202,0.08068,0.07522,-0.1902,0.1038,1
16,2.1834,0.08736,0.08204,-0.1906,0.1003,1
16.25,2.1607,0.09491,0.08971,-0.1916,0.0973,1
16.5,2.1422,0.10184,0.09679,-0.1927,0.0947,1
14.25,2.2659,0.05264,0.04656,-0.197,0.132,1
