Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,1.0242,0.02857,0.01774,-0.2402,0.5714,0.2877
0.25,1.0544,0.02934,0.01854,-0.2402,0.562,0.3631
0.5,1.0896,0.02968,0.01865,-0.2414,0.5527,0.3969
0.75,1.1271,0.02994,0.01863,-0.2431,0.5448,0.4189
1,1.1608,0.03026,0.01879,-0.2443,0.5366,0.4373
1.25,1.1982,0.03056,0.01886,-0.246,0.53,0.4579
1.5,1.2315,0.03095,0.01913,-0.2471,0.5236,0.4781
1.75,1.2623,0.03138,0.01951,-0.2477,0.5168,0.501
2,1.2961,0.03177,0.0198,-0.2488,0.511,0.5292
2.25,1.328,0.03221,0.02019,-0.2496,0.5056,0.5608
2.5,1.3538,0.03274,0.02084,-0.2492,0.4997,0.598
2.75,1.3811,0.0332,0.02139,-0.2491,0.4947,0.6465
3,1.4073,0.03352,0.02178,-0.2485,0.4905,0.7171
3.25,1.4206,0.03358,0.02198,-0.2453,0.4868,0.8638
3.5,1.4447,0.03441,0.02281,-0.245,0.4814,1
3.75,1.4729,0.0353,0.02358,-0.2454,0.4764,1
4,1.5029,0.03611,0.02425,-0.246,0.4722,1
4.25,1.5355,0.03687,0.02482,-0.247,0.4687,1
4.5,1.5556,0.03799,0.02604,-0.246,0.4643,1
4.75,1.5758,0.0391,0.02721,-0.2449,0.4597,1
5,1.5992,0.04009,0.0282,-0.2444,0.4555,1
5.25,1.6259,0.04099,0.02903,-0.2443,0.4519,1
5.5,1.6559,0.04182,0.02979,-0.2448,0.4489,1
5.75,1.6669,0.04335,0.03153,-0.2423,0.4447,1
6,1.6794,0.04484,0.03318,-0.2402,0.4403,1
6.25,1.6972,0.0461,0.03451,-0.2388,0.4363,1
6.5,1.7201,0.04716,0.03558,-0.2382,0.433,1
6.75,1.7486,0.04801,0.03643,-0.2384,0.4301,1
7,1.7518,0.05004,0.0387,-0.235,0.4261,1
7.25,1.7487,0.05239,0.04131,-0.2307,0.4216,1
7.5,1.7554,0.05422,0.0433,-0.2279,0.4175,1
7.75,1.7735,0.05548,0.04462,-0.2267,0.414,1
8,1.804,0.05615,0.0453,-0.2271,0.411,1
8.25,1.7699,0.06015,0.04966,-0.2191,0.4064,1
8.5,1.7174,0.06578,0.05567,-0.2101,0.4009,1
8.75,1.7083,0.06905,0.05909,-0.2065,0.3965,1
9,1.7381,0.0694,0.05945,-0.2065,0.3935,1
9.5,1.5208,0.10105,0.09186,-0.1979,0.3713,1
10,1,0.15105,,,,
11,0.5,0.2105,,,,
12,0,0.25105,,,,
15,5,0.30105,,,,
